"PAIS","COD_BODEGA","NOMBRE_BODEGA","UBICACION","TIPO_BODEGA"
NI,1460,BODEGA CANAL MIXTO - CHONTALES,MIXTO,COMERCIALIZABLE
NI,1463,JINOTEGA R03 EQUIPOS,PANEL,COMERCIALIZABLE
NI,1465,JINOTEGA R05 EQUIPOS,PANEL,COMERCIALIZABLE
NI,1479,EL RAMA R03 EQUIPOS,PANEL,COMERCIALIZABLE
NI,1486,PUNTO IDEAL VERACRUZ,DISTRIBUIDOR,COMERCIALIZABLE
NI,1490,PUNTO IDEAL ALTAMIRA,DISTRIBUIDOR,COMERCIALIZABLE
NI,1492,PUNTO IDEAL CARRET. SUR,DISTRIBUIDOR,COMERCIALIZABLE
NI,1495,PUNTO IDEAL CARRET. MASAYA,DISTRIBUIDOR,COMERCIALIZABLE
NI,1497,PUNTO IDEAL CIUD. SANDINO,DISTRIBUIDOR,COMERCIALIZABLE
NI,1498,PUNTO IDEAL LINDA VISTA,DISTRIBUIDOR,COMERCIALIZABLE
NI,1503,MATALGALPA R03 EQUIPOS,PANEL,COMERCIALIZABLE
NI,1506,MATALGALPA R06 EQUIPOS,PANEL,COMERCIALIZABLE
NI,1515,BODEGA DE EXHIBICION LV,NO COMERCIALIZABLE ,NO COMERCIALIZABLE
NI,1529,ICA PREPAGO CARRETERA NORTE,DISTRIBUIDOR,COMERCIALIZABLE
NI,1532,PUNTO IDEAL CIUD. SANDINO 2,DISTRIBUIDOR,COMERCIALIZABLE
NI,1540,BODEGA EXHIBI SAN JUAN DEL SUR,NO COMERCIALIZABLE ,NO COMERCIALIZABLE
NI,1543,PUNTO IDEAL EL QUETZAL,DISTRIBUIDOR,COMERCIALIZABLE
NI,1544,PUNTO IDEAL ESTELI,DISTRIBUIDOR,COMERCIALIZABLE
NI,1545,PUNTO IDEAL LEON,DISTRIBUIDOR,COMERCIALIZABLE
NI,1554,TELEFONICA PANELES-SIDRA,SIDRA,COMERCIALIZABLE
NI,1556,PUNTO IDEAL BELLO HORIZONTE,DISTRIBUIDOR,COMERCIALIZABLE
NI,1561,HOLA S.A. - SIDRA,SIDRA,COMERCIALIZABLE
NI,1568,PUNTO IDEAL ESQUIPULAS,DISTRIBUIDOR,COMERCIALIZABLE
NI,1570,BODEGA IVAN FLORIAN TV DTH,VTAS/INST DTH,COMERCIALIZABLE
NI,1577,AMPM 13 MERCADO ISRAEL,DISTRIBUIDOR,COMERCIALIZABLE
NI,1578,AMPM 12 VERACRUZ,DISTRIBUIDOR,COMERCIALIZABLE
NI,1580,AMPM 10 LOS VADOS,DISTRIBUIDOR,COMERCIALIZABLE
NI,1582,AMPM 08 CARRET. SUR,DISTRIBUIDOR,COMERCIALIZABLE
NI,1586,AMPM 04 GUEGUENSE,DISTRIBUIDOR,COMERCIALIZABLE
NI,1587,AMPM 03 LOS ROBLES,DISTRIBUIDOR,COMERCIALIZABLE
NI,1588,AMPM 02 ROTONDA UNAN,DISTRIBUIDOR,COMERCIALIZABLE
NI,1590,DTS CANAL MIXTO SIDRA,SIDRA,COMERCIALIZABLE
NI,1631,AMPM18 PLAZA ROCARGO,DISTRIBUIDOR,COMERCIALIZABLE
NI,1632,BODEGA C.M. MADRIZ N. SEGOVIA,BOD MADRIZ,COMERCIALIZABLE
NI,1639,PUNTO IDEAL LA FUENTE,DISTRIBUIDOR,COMERCIALIZABLE
NI,1641,PUNTO IDEAL REPARTO SHICK,DISTRIBUIDOR,COMERCIALIZABLE
NI,1192,BODEGA PTE. DESC. C.SANDINO,BOD CIUDAD SANDINO,COMERCIALIZABLE
NI,1797,TICAL-MATERIAL SCRAP,BOD CENTRAL,NO COMERCIALIZABLE
NI,383,SEED STOCK GRANADA,BOD GRANADA,NO COMERCIALIZABLE
NI,1643,BODEGA ALBERTO MOROY DTH,VTAS/INST DTH,COMERCIALIZABLE
NI,1648,SUP. EXPRESS VILLA LAS SABANAS,DISTRIBUIDOR,COMERCIALIZABLE
NI,1656,BODEGA CANAL M. NICKY MATUS,MIXTO,COMERCIALIZABLE
NI,1661,ERVIN ARAUZ TV,VTAS/INST DTH,COMERCIALIZABLE
NI,1694,SUPER EXPRESS PLAZA MADRIGAL,DISTRIBUIDOR,COMERCIALIZABLE
NI,1695,SUPER EXPRESS CIUD SANDINO 3,DISTRIBUIDOR,COMERCIALIZABLE
NI,1770,SUPER EXPRESS 9 JUNIO,DISTRIBUIDOR,COMERCIALIZABLE
NI,1773,SUPER EXPRESS MY CALLE REAL,DISTRIBUIDOR,COMERCIALIZABLE
NI,1781,AMPM MASAYA,DISTRIBUIDOR,COMERCIALIZABLE
NI,1793,TICAL-PRESTAMO DA??ADOS,DISTRIBUIDOR,NO COMERCIALIZABLE
NI,1810,AMPM JINOTEGA,DISTRIBUIDOR,COMERCIALIZABLE
NI,1812,AMPM GRANADA,DISTRIBUIDOR,COMERCIALIZABLE
NI,1831,AMPM TICUANTEPE,DISTRIBUIDOR,COMERCIALIZABLE
NI,1842,AMPM VILLA LIBERTAD,DISTRIBUIDOR,COMERCIALIZABLE
NI,1845,AMPM OCOTAL,DISTRIBUIDOR,COMERCIALIZABLE
NI,1861,AMPM NINDIRI,DISTRIBUIDOR,COMERCIALIZABLE
NI,1863,AMPM NANDAIME,DISTRIBUIDOR,COMERCIALIZABLE
NI,1901,AMPM NUEVA GUINEA,DISTRIBUIDOR,COMERCIALIZABLE
NI,1593,INSTALACIONES VTAS INDIV DTH,VTAS/INST DTH,COMERCIALIZABLE
NI,1629,AMPM16 PLAZA GUANACASTE,DISTRIBUIDOR,COMERCIALIZABLE
NI,1640,PUNTO IDEAL LAS MERCEDES,DISTRIBUIDOR,COMERCIALIZABLE
NI,1646,AMPM 21 WASPAN,DISTRIBUIDOR,COMERCIALIZABLE
NI,1647,SUPER EXPRESS REPARTO SHICK,DISTRIBUIDOR,COMERCIALIZABLE
NI,1658,BODEGA CANAL M. ALFONSO TAPIA,MIXTO,COMERCIALIZABLE
NI,1696,ICA CARRETERA MASAYA,DISTRIBUIDOR,COMERCIALIZABLE
NI,1706,SUPER EXPRESS GRANDA,DISTRIBUIDOR,COMERCIALIZABLE
NI,1709,VERITA TV,VTAS/INST DTH,COMERCIALIZABLE
NI,1739,SUPER EXPRESS 14 DE SEPT,DISTRIBUIDOR,COMERCIALIZABLE
NI,1745,SUPER EXPRESS LOMA LINDA,DISTRIBUIDOR,COMERCIALIZABLE
NI,1747,AMPM CHINANDEGA PLAZA STA ANA,DISTRIBUIDOR,COMERCIALIZABLE
NI,1767,AMPM LA FAMILIAR,DISTRIBUIDOR,COMERCIALIZABLE
NI,1771,AMPM TAMARINDO,DISTRIBUIDOR,COMERCIALIZABLE
NI,1772,SUPER EXPRESS MY CALVARIO,DISTRIBUIDOR,COMERCIALIZABLE
NI,1775,AMPM PLAZA GOURMET,DISTRIBUIDOR,COMERCIALIZABLE
NI,1843,AMPM BOACO,DISTRIBUIDOR,COMERCIALIZABLE
NI,1851,AMPM JUIGALPA,DISTRIBUIDOR,COMERCIALIZABLE
NI,1488,PUNTO IDEAL MIRAFLORES,DISTRIBUIDOR,COMERCIALIZABLE
NI,959,BODEGA DE EXHIBICION NORTE,NO COMERCIALIZABLE ,NO COMERCIALIZABLE
NI,964,D.V VENTAS EL VIEJO,NO COMERCIALIZABLE ,NO COMERCIALIZABLE
NI,966,D.V VENTAS CHINANDEGA 1,NO COMERCIALIZABLE ,NO COMERCIALIZABLE
NI,984,D.V VENTAS PLAZA INTER,NO COMERCIALIZABLE ,NO COMERCIALIZABLE
NI,989,D.V VENTAS GRANADA,NO COMERCIALIZABLE ,NO COMERCIALIZABLE
NI,1038,D.V VENTAS GENERICA,NO COMERCIALIZABLE ,NO COMERCIALIZABLE
NI,1133,RONALDO GARCIA GAMEZ,DISTRIBUIDOR,COMERCIALIZABLE
NI,1166,SEED STOCK CARRETERA SUR,NO COMERCIALIZABLE ,NO COMERCIALIZABLE
NI,1292,ICA PREPAGO CAPS LAS AMERICAS,DISTRIBUIDOR,COMERCIALIZABLE
NI,1351,BODEGA DE EXHI PL. ESPAÂ¿A,NO COMERCIALIZABLE ,NO COMERCIALIZABLE
NI,1464,JINOTEGA R04 EQUIPOS,PANEL,COMERCIALIZABLE
NI,1469,JINOTEGA R01 TARJETAS,PANEL,COMERCIALIZABLE
NI,1485,PUNTO IDEAL LAS COLINAS,DISTRIBUIDOR,COMERCIALIZABLE
NI,1491,PUNTO IDEAL BOLONIA,DISTRIBUIDOR,COMERCIALIZABLE
NI,1494,PUNTO IDEAL ZUMEN,DISTRIBUIDOR,COMERCIALIZABLE
NI,1496,PUNTO IDEAL EL DORADO,DISTRIBUIDOR,COMERCIALIZABLE
NI,1964,BODEGA HOME B2B,DISTRIBUIDOR,COMERCIALIZABLE
NI,438,BODEGA VENTAS EMPRESAS,BOD GGEE,COMERCIALIZABLE
NI,1987,BODEGA C PLAZA ONCE,BOD PLAZA ONCE,COMERCIALIZABLE
NI,1989,SIMCARDS PLAZA ONCE,SIMCARDS PLAZA ONCE,COMERCIALIZABLE
NI,1257,SIMCARDS LINDA VISTA,SIMCARDS LEON,COMERCIALIZABLE
NI,616,BODEGA RESERVA GESTION EMPL,SAN DIONISIO,NO COMERCIALIZABLE
NI,1978,EFFICIENT TELEVENTAS,DISTRIBUIDOR,COMERCIALIZABLE
NI,1977,CALDERON PROSOLUTIONS,DISTRIBUIDOR,COMERCIALIZABLE
NI,1917,BODEGA TIGO PLUS,SAN DIONISIO,COMERCIALIZABLE
NI,1,BODEGA CENTRAL,BOD CENTRAL,COMERCIALIZABLE
NI,1203,BODEGA PDT. DESC. GRANADA,BOD GRANADA,COMERCIALIZABLE
NI,3,BODEGA C. PLAZA ESPANA,BOD PLAZA ESPANA,COMERCIALIZABLE
NI,4,BODEGA C.C. NORTE,BOD CARR NORTE,COMERCIALIZABLE
NI,5,BODEGA C. CHINANDEGA,BOD CHINANDEGA,COMERCIALIZABLE
NI,16,BODEGA C. RIVAS,BOD RIVAS,COMERCIALIZABLE
NI,136,NINOSKA ARAGON,DISTRIBUIDOR,COMERCIALIZABLE
NI,234,"VERITA, S.A.",DISTRIBUIDOR,COMERCIALIZABLE
NI,262,VENTAS PYME,BOD NEGOCIOS,COMERCIALIZABLE
NI,264,EL RELOJ EN LINEA,DISTRIBUIDOR,COMERCIALIZABLE
NI,266,IVAN FLORIAN,DISTRIBUIDOR,COMERCIALIZABLE
NI,270,BODEGA EQS. RESERVADOS,BOD CENTRAL,COMERCIALIZABLE
NI,283,MERCEDES DEL CARMEN ESPAÂ¿A R.,DISTRIBUIDOR,COMERCIALIZABLE
NI,286,BODEGA C. LEON,BOD LEON,COMERCIALIZABLE
NI,290,IVAN ANTONIO FLORIAN MONTIEL,DISTRIBUIDOR,COMERCIALIZABLE
NI,292,BODEGA C. GRANADA,BOD GRANADA,COMERCIALIZABLE
NI,295,GLORIA BLANCO,DISTRIBUIDOR,COMERCIALIZABLE
NI,381,SEED STOCK PLAZA ESPANA,BOD PLAZA ESPANA,NO COMERCIALIZABLE
NI,382,SEED STOCK NSH,BOD EDIF,NO COMERCIALIZABLE
NI,384,SEED STOCK LEON,BOD LEON ,NO COMERCIALIZABLE
NI,385,SEED STOCK CHINANDEGA,BOD CHINANDEGA,NO COMERCIALIZABLE
NI,394,BODEGA SANTO DOMINGO,BOD GALERIAS,COMERCIALIZABLE
NI,398,SEED STOCK MATAGALPA,BOD MATAGALPA,NO COMERCIALIZABLE
NI,404,BODEGA C. MATAGALPA,BOD MATAGALPA,COMERCIALIZABLE
NI,435,VENTAS INDIVIDUALES,BOD INDIVIDUALES,COMERCIALIZABLE
NI,443,MARIA ELENA SANCHEZ BARQUERO,DISTRIBUIDOR,COMERCIALIZABLE
NI,460,PANEL 19 CHONTALES,PANEL,COMERCIALIZABLE
NI,482,HAROLD GUTIERREZ CARCACHE,DISTRIBUIDOR,COMERCIALIZABLE
NI,501,MINI CAPS SANTO THOMAS/VICTOR,BOD MINI CAP STO TOMAS,COMERCIALIZABLE
NI,533,BODEGA C. LAS AMERICAS,BOD LAS AMERICAS,COMERCIALIZABLE
NI,557,SEED STOCK CAP MASAYA,BOD MASAYA,NO COMERCIALIZABLE
NI,610,SEED STOCK MINI STO TOMAS,BOD MINI CAP STO TOMAS,NO COMERCIALIZABLE
NI,624,BODEGA AEROPUERTO EXTERIOR,BOD AEROPUERTO,COMERCIALIZABLE
NI,643,SEED STOCK TIPITAPA,BOD TIPITAPA,NO COMERCIALIZABLE
NI,648,SEED STOCK JUIGALPA,BOD JUIGALPA,NO COMERCIALIZABLE
NI,649,BODEGA CAP JUIGALPA,BOD JUIGALPA,COMERCIALIZABLE
NI,651,ELIAS JOSE TELLEZ MONTANO,DISTRIBUIDOR,COMERCIALIZABLE
NI,654,NESTRIX CORPORATION,DISTRIBUIDOR,COMERCIALIZABLE
NI,655,BODEGA DE EXHIBICION CENTRAL,BOD CENTRAL,NO COMERCIALIZABLE
NI,657,BODEGA DE EXHIBICION RIVAS,BOD RIVAS,NO COMERCIALIZABLE
NI,661,BODEGA DE EXHIBICION TIPITAPA,BOD TIPITAPA,NO COMERCIALIZABLE
NI,663,BODEGA DE EXHIBICION LAS AMER,BOD LAS AMERICAS,NO COMERCIALIZABLE
NI,672,PANEL 60 NUEVA GUINEA,PANEL,COMERCIALIZABLE
NI,687,PRÂ¿STAMO MINICAPS SN. JUAN SUR,NO COMERCIALIZABLE ,NO COMERCIALIZABLE
NI,700,BODEGA C. ESTELI,BOD ESTELI,COMERCIALIZABLE
NI,737,IXA IRELA ORTEGA ALVAREZ,DISTRIBUIDOR,COMERCIALIZABLE
NI,745,BODEGA C. CIUDAD SANDINO,BOD CIUDAD SANDINO,COMERCIALIZABLE
NI,774,CD MASAYA,BOD MASAYA,COMERCIALIZABLE
NI,775,CD TIPITAPA,BOD TIPITAPA,COMERCIALIZABLE
NI,782,SEED STOCK JINOTEPE,BOD JINOTEPE,NO COMERCIALIZABLE
NI,788,DAYSIS JANETH CASTELLON,DISTRIBUIDOR,COMERCIALIZABLE
NI,794,LARRY ALBERTO CHAVARRIA,DISTRIBUIDOR,COMERCIALIZABLE
NI,798,CD CIUD. SANDINO,BOD CIUDAD SANDINO,COMERCIALIZABLE
NI,1918,AMPM 40 TIPITAPA,DISTRIBUIDOR,COMERCIALIZABLE
NI,1920,VENTAS WEB ASISTIDA,VIRTUAL,COMERCIALIZABLE
NI,1925,BODEGA RECLAMO DOA,TALLER,NO COMERCIALIZABLE
NI,1937,ALMACEN TIGO DESPACHO NPW,BOD CENTRAL,COMERCIALIZABLE
NI,1949,JEYDY MARIELA SALAS HUDIEL_CT,DISTRIBUIDOR,COMERCIALIZABLE
NI,1950,B.R TELERENOVA NETMOBILE,SAN DIONISIO,COMERCIALIZABLE
NI,1951,CD MADRIZ NUEVA SEGOVIA,BOD ESTELI,COMERCIALIZABLE
NI,1952,BODEGA POSTVENTA,SAN DIONISIO,COMERCIALIZABLE
NI,1963,CD TRIANGULO MINERO,BOD RIO BLANCO,COMERCIALIZABLE
NI,1968,LEADS POSPAGO NETMOBILE,SAN DIONISIO,COMERCIALIZABLE
NI,1969,LEADS PREPAGO NETMOBILE,SAN DIONISIO,COMERCIALIZABLE
NI,1970,PRO MUJER DIGESA,DISTRIBUIDOR,COMERCIALIZABLE
NI,1972,ALMACEN LEADD NETMOBILE,SAN DIONISIO,COMERCIALIZABLE
NI,1800,BODEGA B2B,SAN DIONISIO,COMERCIALIZABLE
NI,182,BODEGA DE EQS. Y ACC. SCRAP,BOD CENTRAL,NO COMERCIALIZABLE
NI,444,KATIELA JOSEFINA SEQUEIRA,DISTRIBUIDOR,COMERCIALIZABLE
NI,481,LUZ MARINA RIVERA GRANADO,DISTRIBUIDOR,COMERCIALIZABLE
NI,556,BODEGA CAP MASAYA,BOD MASAYA,COMERCIALIZABLE
NI,564,EDGAR LEONEL MORALES RIVERA,DISTRIBUIDOR,COMERCIALIZABLE
NI,641,BODEGA C. TIPITAPA,BOD TIPITAPA,COMERCIALIZABLE
NI,652,FRANCISCA MIRIAM CASCO HERNAND,DISTRIBUIDOR,COMERCIALIZABLE
NI,656,BODEGA DE EXHIBICION ESTELI,BOD ESTELI,NO COMERCIALIZABLE
NI,659,BODEGA DE EXHIBICION JUIGALPA,BOD JUIGALPA,NO COMERCIALIZABLE
NI,664,BODEGA DE EXHIBICION STO DOMIN,BOD GALERIAS,NO COMERCIALIZABLE
NI,694,SEED STOCK RIVAS,BOD RIVAS,NO COMERCIALIZABLE
NI,701,SEED STOCK ESTELI,BOD ESTELI,NO COMERCIALIZABLE
NI,746,SEED STOCK CIUDAD SANDINO,BOD CIUDAD SANDINO,NO COMERCIALIZABLE
NI,776,CD RIVAS,BOD RIVAS,COMERCIALIZABLE
NI,777,CD ESTELI,BOD ESTELI,COMERCIALIZABLE
NI,779,CD MATAGALPA,BOD MATAGALPA,COMERCIALIZABLE
NI,781,BODEGA C. JINOTEPE,BOD JINOTEPE,COMERCIALIZABLE
NI,795,NORLAN DANIEL FLORES MALTEZ,DISTRIBUIDOR,COMERCIALIZABLE
NI,1295,BODEGA PTE. DESC. RIVAS,BOD RIVAS,COMERCIALIZABLE
NI,1296,ICA PREPAGO KIOSKO METROCENTRO,DISTRIBUIDOR,COMERCIALIZABLE
NI,879,BODEGA C. NUEVA GUINEA,BOD NVA GUINEA,COMERCIALIZABLE
NI,802,CD JINOTEPEQUE,BOD JINOTEPE,COMERCIALIZABLE
NI,807,SEED STOCK PLAZA INTER,NO COMERCIALIZABLE ,NO COMERCIALIZABLE
NI,811,BODEGA C.BLUEFIELDS,BOD BLUEFIELDS,COMERCIALIZABLE
NI,813,SEED STOCK BLUEFIELDS,BOD BLUEFIELDS,NO COMERCIALIZABLE
NI,831,TALLER EMPRESAS Y NEGOCIOS,BOD NEGOCIOS,NO COMERCIALIZABLE
NI,840,SEED STOCK C. JINOTEGA,BOD JINOTEGA,NO COMERCIALIZABLE
NI,842,BODEGA C. JINOTEGA,BOD JINOTEGA,COMERCIALIZABLE
NI,846,SEED STOCK VERACRUZ,NO COMERCIALIZABLE ,NO COMERCIALIZABLE
NI,847,BODEGA C. VERACRUZ,BOD VERACRUZ,COMERCIALIZABLE
NI,849,CD GRANADA,BOD GRANADA,COMERCIALIZABLE
NI,850,PUERTA VENTAS GRUPO I,PUERTA VENTAS GRUPO I,COMERCIALIZABLE
NI,853,PUERTA VENTAS GRUPO IV,VIRTUAL,COMERCIALIZABLE
NI,860,FRANCISCO JAVIER BRAVO B,DISTRIBUIDOR,COMERCIALIZABLE
NI,880,SEED STOCK NUEVA GUINEA,BOD NVA GUINEA,NO COMERCIALIZABLE
NI,884,BODEGA C. BOACO,BOD BOACO,COMERCIALIZABLE
NI,885,SEED STOCK BOACO,BOD BOACO,NO COMERCIALIZABLE
NI,895,BODEGA C. LAS AMERICAS II,DISTRIBUIDOR,COMERCIALIZABLE
NI,933,CD LEON,BOD LEON,COMERCIALIZABLE
NI,946,ALDO RAMON ARAUZ MAIRENA,DISTRIBUIDOR,COMERCIALIZABLE
NI,950,GGEE. PTE. DESC.,BOD GGEE,COMERCIALIZABLE
NI,951,BODEGA RESERVADOS GGEE.,SAN DIONISIO,COMERCIALIZABLE
NI,953,BODEGA RESERVADOS PYME,BOD NEGOCIOS,COMERCIALIZABLE
NI,963,BODEGA EQUIPOS RESERVADOS NSH,BOD EDIF,COMERCIALIZABLE
NI,970,D.V VENTAS ST0 DGO.,NO COMERCIALIZABLE ,NO COMERCIALIZABLE
NI,983,D.V VENTAS TIPITAPA,BOD TIPITAPA,NO COMERCIALIZABLE
NI,987,D.V VENTAS JINOTEGA,BOD JINOTEGA,NO COMERCIALIZABLE
NI,1029,MELVIN RAMON BETANCO,DISTRIBUIDOR,COMERCIALIZABLE
NI,1043,MINI CAPS WASLALA,MINICAP,COMERCIALIZABLE
NI,1075,BODEGA CANAL MIXTO-CHINANDEGA,MIXTO,COMERCIALIZABLE
NI,1180,FRANYA LOURDES CALERO ROMERO,DISTRIBUIDOR,COMERCIALIZABLE
NI,1183,BODEGA PTE. DESC. MULT 1,BOD LAS AMERICAS,COMERCIALIZABLE
NI,1188,BODEGA PTE. DESC. METRO 2,BOD METROCENTRO,COMERCIALIZABLE
NI,1195,BODEGA PTE. DESC. C.NORTE,BOD CARR NORTE,COMERCIALIZABLE
NI,1212,BODEGA PTE. DESC. BOACO,BOD BOACO,COMERCIALIZABLE
NI,1294,ICA PREPAGO KIOSKOS GALERIA,DISTRIBUIDOR,COMERCIALIZABLE
NI,1305,SEED STOCK RIO BLANCO,BOD RIO BLANCO,NO COMERCIALIZABLE
NI,1315,ALBERTO EMILIO MONROY OPORTA,DISTRIBUIDOR,COMERCIALIZABLE
NI,1349,BERTA SORAYA BARQUERO GUERRERO,DISTRIBUIDOR,COMERCIALIZABLE
NI,1352,BODEGA DE EXHIBICION R. BLANCO,BOD RIO BLANCO,NO COMERCIALIZABLE
NI,1353,BODEGA DE EXHIBICION MATAGALPA,BOD MATAGALPA,NO COMERCIALIZABLE
NI,1359,BODEGA CANAL MIXTO-LEON,MIXTO,COMERCIALIZABLE
NI,1438,BODEGA DE EXHIBICION MASAYA,BOD MASAYA,NO COMERCIALIZABLE
NI,1440,ESTELI R01 EQUIPOS,PANEL,COMERCIALIZABLE
NI,1452,BODEGA DE EXHIBICION LEON,BOD LEON,NO COMERCIALIZABLE
NI,1462,JINOTEGA R02 EQUIPOS,PANEL,COMERCIALIZABLE
NI,1468,JINOTEGA R08 EQUIPOS,PANEL,COMERCIALIZABLE
NI,1493,PUNTO IDEAL VILLA FONTANA,DISTRIBUIDOR,COMERCIALIZABLE
NI,1499,PUNTO IDEAL SAN JUAN DEL SUR,DISTRIBUIDOR,COMERCIALIZABLE
NI,1505,MATALGALPA R05 EQUIPOS,VIRTUAL,COMERCIALIZABLE
NI,1527,ICA PREPAGO VERACRUZ,DISTRIBUIDOR,COMERCIALIZABLE
NI,1542,PUNTO IDEAL TICUANTEPE,DISTRIBUIDOR,COMERCIALIZABLE
NI,1547,BODEGA TELETECHNO DTH,VTAS/INST DTH,COMERCIALIZABLE
NI,1558,BODEGA EQUIPO FINANCIADO G.E,BOD GGEE (PROYECTOS),COMERCIALIZABLE
NI,1559,DICESA-SIDRA,DISTRIBUIDOR SIDRA,COMERCIALIZABLE
NI,1560,DISLISA-SIDRA,SIDRA,COMERCIALIZABLE
NI,1562,MOVILWAY-SIDRA,DISTRIBUIDOR SIDRA,COMERCIALIZABLE
NI,1563,PROMIX-SIDRA,DISTRIBUIDOR SIDRA,COMERCIALIZABLE
NI,1572,BODEGA CANAL MIXTO-RIVAS,MIXTO,COMERCIALIZABLE
NI,1584,AMPM 06 LINDA VISTA,DISTRIBUIDOR,COMERCIALIZABLE
NI,1594,GLOBAL TECNOLOGY S.A. DTH,VTAS/INST DTH,COMERCIALIZABLE
NI,1637,PUNTO IDEAL VILLAFLOR,DISTRIBUIDOR,COMERCIALIZABLE
NI,1645,BODEGA PTE. DESC. NSH,BOD EDIF,COMERCIALIZABLE
NI,1649,VI DTS TEST SIDRA CAM NI,VIRTUAL,NO COMERCIALIZABLE
NI,1657,BODEGA CANAL M. ANGEL ESPINZA,MIXTO,COMERCIALIZABLE
NI,1698,BODEGA PUNTO CLAVE PLAZA INTER,PUNTO CLAVE PLAZA INTER,COMERCIALIZABLE
NI,1699,DIGESA POSPAGO,DISTRIBUIDOR,COMERCIALIZABLE
NI,1700,DISLISA POSPAGO,DISTRIBUIDOR,COMERCIALIZABLE
NI,1702,MOVILWEY POSPAGO,DISTRIBUIDOR,COMERCIALIZABLE
NI,1704,BODEGA DE EXHIBICION JINOTEPE,BOD JINOTEPE,NO COMERCIALIZABLE
NI,1707,BODEGA CANAL MIXTO-BOACO,MIXTO,COMERCIALIZABLE
NI,1711,NETSOLUTIONS DTH,VTAS/INST DTH,COMERCIALIZABLE
NI,1713,BODEGA C. MXT TRIANGULO MINERO,MIXTO,COMERCIALIZABLE
NI,1733,YURIELL CHAKYR SIU RAYO,DISTRIBUIDOR,COMERCIALIZABLE
NI,1737,AMPM PLAZA LA CONCHITA,DISTRIBUIDOR,COMERCIALIZABLE
NI,1738,SUPER EXPRESS CARR  MASAYA 2,DISTRIBUIDOR,COMERCIALIZABLE
NI,1740,SUPER EXPRESS TIPITAPA CENTRO,DISTRIBUIDOR,COMERCIALIZABLE
NI,1743,SUPER EXPRESS LA RACACHACA,DISTRIBUIDOR,COMERCIALIZABLE
