"PAIS","COD_BODEGA","NOMBRE_BODEGA","UBICACION","TIPO_BODEGA"
PA,1038,TIENDA LA DOÑA,REGION 1,Tienda
PA,25121072525,B2B POSTPAGO,CORP,Bodega B2B
PA,1037,TIENDA LOS ANDES,REGION 1,TIENDA
PA,1225,C.L. COLON,REGION 2,BODEGA
PA,71,C.L. COLON,REGION 2,BODEGA
PA,78,C.L. DAVID,REGION 4,Bodega
PA,80,DESPACHO  PENONOME,REGION 3,Bodega
PA,1,BODEGA CENTRAL,BC,Bodega
PA,6074,REDES SOCIALES,CORP,Bodega
PA,57,C.L. CHORRERA,REGION 5,Bodega
PA,70,C.L. CHITRE,REGION 3,Bodega
PA,2512,COOP. PROFESIONALES,CORP,Bodega B2B
PA,2525,POSTPAGO,CORP,Bodega B2B
PA,107,POSTPAGO RESERVA,CORP,Bodega B2B
PA,73,BODEGA SERVICIO TECNICO,CORP,Servicio Tecnico - Seedstock
PA,99,SERV. TÉCNICO SEED·STOCK/GARAN,CORP,Servicio Tecnico - Seedstock
PA,6036,CORP.SERVICIO TECNICO PYME GGC,CORP,Servicio Tecnico - Seedstock
PA,2536,AGUADULCE,REGION 3,Tienda
PA,2543,ALBROOK MALL CINES,REGION 1,Tienda
PA,24,BOCAS DEL TORO,REGION 4,Tienda
PA,2535,BUGABA,REGION 4,Tienda
PA,3,CHIRIQUI,REGION 4,Tienda
PA,4,CHITRÈ,REGION 3,Tienda
PA,5,CHORRERA,REGION 5,Tienda
PA,2523,COLON CALLE 12,REGION 2,Tienda
PA,2528,CORONADO,REGION 5,Tienda
PA,27,COSTA DEL ESTE,REGION 1,Tienda
PA,6089,EL DORADO,REGION 1,Tienda
PA,2544,ISLA COLON,REGION 4,Tienda
PA,6276,BOQUETE,REGION 4,Tienda
PA,23,LA DOÑA,REGION 1,Tienda
PA,2537,LAS TABLAS,REGION 3,Tienda
PA,2519,METRO MALL,REGION 1,Tienda
PA,2529,MULTIPLAZA,REGION 1,Tienda
PA,25,PENONOME,REGION 3,Tienda
PA,3057,BUSITO R101,REGION 1,Vehículo
PA,3014,BUSITO R109,REGION 1,Vehículo
PA,3030,BUSITO R110,REGION 1,Vehículo
PA,6131,BUSITO R311,REGION 3,Vehículo
PA,3020,BUSITO R102,REGION 1,Vehículo
PA,6088,BUSITO R103,REGION 1,Vehículo
PA,3022,BUSITO R106,REGION 1,Vehículo
PA,3027,BUSITO R201,REGION 2,Vehículo
PA,3028,BUSITO R202,REGION 2,Vehículo
PA,3029,BUSITO R203,REGION 2,Vehículo
PA,3036,BUSITO R302,REGION 3,Vehículo
PA,3051,BUSITO R410,REGION 4,Vehículo
PA,3021,BUSITO R501,REGION 5,Vehículo
PA,3024,BUSITO R503,REGION 5,Vehículo
PA,6042,BUSITO R504,REGION 5,Vehículo
PA,6087,BUSITO R505,REGION 5,Vehículo
PA,1122,WESTLAND MALL,REGION 5,Tienda
PA,1053,SANTIAGO BOULEVARD,REGION 3,Tienda
PA,3023,BUSITO R502,REGION 5,Vehículo
PA,2545,DAVID CENTRAL,REGION 4,Tienda
PA,86,TELMKT PANAMA,REGION 1,Bodega
PA,88,TELMKT SANTIAGO,REGION 3,Bodega
PA,89,TELMKT DAVID,REGION 4,Bodega
PA,2,B2B LAS TABLAS,CORP,Bodega B2B
PA,7,B2B CHIRIQUI,CORP,Bodega B2B
PA,9,B2B CHORRERA,CORP,Bodega B2B
PA,66,B2B AGUADULCE,CORP,Bodega B2B
PA,1044,B2B SANTIAGO,CORP,Bodega B2B
PA,1098,B2B CHITRE,CORP,Bodega B2B
PA,6035,B2B COLON,CORP,Bodega B2B
PA,6039,B2B PENONOME,CORP,Bodega B2B
PA,87,TELMKT PANAMÁ OESTE,REGION 5,Bodega
PA,6110,OUTSOURCING UPGRADE,REGION 1,BODEGA
PA,3049,BUSITO R407,REGION 4,VEHÍCULO
PA,1039,KIOSKO ALBROOK MALL COSTO,REGION 1,TIENDA
PA,3048,BUSITO R406,REGION 4,VEHÍCULO
PA,1041,KIOSCO ALBROOK MALL,REGION 1,TIENDA
PA,1052,KIOSKO TERMINAL SANTIAGO,REGION 1,TIENDA
PA,59,BODEGA SIM AUTOGESTION EMPRESA,REGION 4,BODEGA
PA,6,SANTIAGO NO USAR,REGION 2,TIENDA
PA,3044,BUSITO R402,REGION 4,VEHÍCULO
PA,3037,BUSITO R303,REGION 3,VEHÍCULO
PA,3045,BUSITO R403,REGION 4,VEHÍCULO
PA,2521,KIOSCO ALTAPLAZA,REGION 1,TIENDA
PA,16,C.L. SANTIAGO,REGION 3,BODEGA
PA,3058,BUSITO R408,REGION 4,VEHÍCULO
PA,6172,BUSITO R412,REGION 4,VEHÍCULO
PA,2531,METETI,REGION 1,TIENDA
PA,3055,BUSITO R310,REGION 3,VEHÍCULO
PA,3047,BUSITO R405,REGION 4,VEHÍCULO
