"PAIS","COD_BODEGA","NOMBRE_BODEGA","UBICACION","TIPO_BODEGA"
PY,"140",MSC CALL CENTER ATD HVC PYMES,ASUNCION,TELEVENTAS
PY,"23",MSC CALL CENTER PYMES,ASUNCION,TELEVENTAS
PY,"247",MSC CALL CENTER 4M - INBOUND,ASUNCION,TELEVENTAS
PY,"298",MSC FAMILY AND FRIENDS CONCEPCION,NORTE,TIGO STORES
PY,"179",MSC FUENTE SHOPPING,CENTRAL ,TIGO STORES
PY,"123",MSC ITA,CENTRAL ,TIGO STORES
PY,"125",MSC MERCADO 4,ASUNCION,TIGO STORES
PY,"270",MSC OBLIGADO CORPO,ESTE,B2B
PY,"206",MSC PILAR SAC - VTAS,CENTRO,TIGO STORES
PY,"105",MSC SAN JUAN NEPOMUCENO S-VTAS,CENTRO,TIGO STORES
PY,"106",MSC SANTANI SAC - VTAS,NORTE,TIGO STORES
PY,"268",MSC TIENDA ONLINE ZONA OUTLET,ASUNCION,E-COMMERCE
PY,"202",MSC VILLARRICA SAC - VTAS,CENTRO,TIGO STORES
PY,"98",MSC YUTY,CENTRO,TIGO STORES
PY,"20",NUEVOS CORPO COV,CENTRO,B2B
PY,"126",NUEVOS CORPO ENC,ESTE,B2B
PY,"272",NUEVOS CORPO PJC,NORTE,B2B
PY,PY_P12_TELECEL_STOCK CENTRAL _COMERCIAL,PY_P12_TELECEL_STOCK CENTRAL _COMERCIAL,CENTRAL ,ALMACEN CENTRAL
PY,"107",MSC CAMPO 9 VTAS,CENTRO,TIGO STORES
PY,"199",MSC HERNANDARIAS,ESTE,TIGO STORES
PY,"99",MSC PARAGUARI,CENTRAL ,TIGO STORES
PY,"159",MSC SANTA ROSA SAC - VTAS,NORTE,TIGO STORES
PY,"1",MSC ACOPIO MARIA AUXILIADORA,ESTE,TIGO STORES
PY,"204",MSC ACOPIO VILLARRICA,CENTRO,ACOPIO
PY,"104",MSC CAAZAPA SAC - VTAS,CENTRO,TIGO STORES
PY,"67",MSC FILADELFIA,NORTE,TIGO STORES
PY,"40",MSC FAMILY AND FRIENDS 4M,CENTRAL ,TIGO STORES
PY,"4",NUEVOS - ENC SAC,ESTE,TIGO STORES
PY,"233",NUEVOS CORPO E. AYALA,ASUNCION,B2B
PY,PY_P01_TELECEL_STOCK CENTRAL,PY_P01_TELECEL_STOCK CENTRAL,CENTRAL ,ALMACEN CENTRAL
PY,PY_P99_TELECEL_STOCK CENTRAL_COMERCIAL_REUBICADO,PY_P99_TELECEL_STOCK CENTRAL_COMERCIAL_REUBICADO,CENTRAL ,ALMACEN CENTRAL
PY,"141",MSC OBLIGADO,ESTE,TIGO STORES
PY,"95",NUEVOS SAN IGNACIO,CENTRO,TIGO STORES
PY,"176",MSC BLUE TOWER,ASUNCION,TIGO STORES
PY,"28",MSC CALL CENTER - TIENDA ONLINE,ASUNCION,E-COMMERCE
PY,"155",MSC KATUETE,ESTE,TIGO STORES
PY,"205",MSC ÑEMBY 2,CENTRAL ,TIGO STORES
PY,"90",MSC SHOPPING PINEDO,CENTRAL ,TIGO STORES
PY,"174",MSC VILLA HAYES,CENTRAL ,TIGO STORES
PY,"41",NUEVOS E.AYALA,ASUNCION,TIGO STORES
PY,"68",MSC TIENDA EXPRESS GÓNDOLA KINGO,CENTRAL ,TIGO STORES
PY,"280",MSC TIENDA EXPRESS LUISITO CAPIATA,CENTRAL ,TIGO STORES
PY,"305",MSC TIENDA EXPRESS SUPER REAL ACCESO SUR,CENTRAL ,TIGO STORES
PY,"281",MSC TIENDA EXPRESS LUISITONEMBY,CENTRAL ,TIGO STORES
PY,"282",MSC TIENDA EXPRESS LUISITO LUQUE,CENTRAL ,TIGO STORES
PY,"292",MSC TIENDA EXPRESS LUISITO FELIX BOGADO,ASUNCION,TIGO STORES
