"PAIS","COD_SKU","FAMILY","MODEL_NAME","BRAND","TIER","STATUS"
NI,1943,IPHONE 6 64GB REEMPLAZO,IPHONE 6 64 GB GRAY REEMPLAZO,APPLE,ULTRA HIGH,OBSOLETE
NI,1944,IPHONE 6 PLUS 16 GB REEMPLAZO,IPHONE 6 PLUS 16 GB GRAY REEMPLAZO,APPLE,ULTRA HIGH,OBSOLETE
NI,1946,IPHONE 6 PLUS 64GB REEMPLAZO,IPHONE 6 PLUS 64 GB SILVER REEMPLAZO,APPLE,ULTRA HIGH,OBSOLETE
NI,1948,IPHONE 6 16GB REEMPLAZO,IPHONE 6 16 GB SILVER REEMPLAZO,APPLE,ULTRA HIGH,OBSOLETE
NI,1956,HUAWEI ROUTER B310,KIT HUAWEI ROUTER B310 LTE,HUAWEI,LOW,OBSOLETE
NI,1958,SONY XPERIA M4 LTE,SONY XPERIA M4 AQUA LTE,SONY,FEATURE PHONE,OBSOLETE
NI,1962,YEZZ FC10,YEZZ FC10 PINK,YEZZ,FEATURE PHONE,OBSOLETE
NI,1965,KIT YEZZ FC10 BLUE,KIT YEZZ FC10 BLUE,YEZZ,FEATURE PHONE,OBSOLETE
NI,1966,YEZZ FC10,KIT YEZZ FC10 GREEN,YEZZ,FEATURE PHONE,OBSOLETE
NI,1968,YEZZ FC10,KIT YEZZ FC10 WHITE,YEZZ,FEATURE PHONE,OBSOLETE
NI,1970,SAMSUNG J2 ACE 8GB LTE,SAMSUNG J2 ACE 8GB BLACK LTE,SAMSUNG,MID,OBSOLETE
NI,1972,SAMSUNG J2 ACE 8GB LTE,SAMSUNG J2 ACE 8GB GOLD LTE,SAMSUNG,FEATURE PHONE,OBSOLETE
NI,1973,SAMSUNG GALAXY A5 LTE,SAMSUNG GALAXY A5 WHITE LTE,SAMSUNG,HIGH,OBSOLETE
NI,1974,IPHONE 6S 64GB LTE,IPHONE 6S SPACE GRAY 64GB LTE,APPLE,HIGH,OBSOLETE
NI,1975,IPHONE 6S PLUS 16GB LTE,IPHONE 6S PLUS SPACE GRAY 16GB LTE,APPLE,HIGH,OBSOLETE
NI,1982,BMOBILE AX810 ,BMOBILE AX810 BLACK,BMOBILE,LOW,OBSOLETE
NI,1985,HUAWEI WS33 EXPANDIBLE INALAMBRICO,HUAWEI WS33 EXPANDIBLE INALAMBRICO,HUAWEI,FEATURE PHONE,OBSOLETE
NI,1987,NEXUS GOW10,NEXUS GOW10,NEXUS,LOW,OBSOLETE
NI,1988,NEXUS GO 1001 LTE,NEXUS GO 1001 BLUE LTE,NEXUS,LOW,OBSOLETE
NI,1989,IPHONE 6S PLUS 64GB LTE,IPHONE 6S PLUS SPACE GRAY 64GB LTE,APPLE,ULTRA HIGH,OBSOLETE
NI,1990,NEXUS GOW10,KIT NEXUS GOW10,NEXUS,LOW,OBSOLETE
NI,1991,NEXUS GO 1001 LTE,KIT NEXUS GO 1001 BLUE LTE,NEXUS,MID LOW,OBSOLETE
NI,1995,LG SPIRIT H440F LTE,LG SPIRIT H440F BLACK LTE,LG,MID,OBSOLETE
NI,1997,NEXUS GO190,KIT NEXUS GO190,NEXUS,FEATURE PHONE,OBSOLETE
NI,1999,IPHONE 6S 16GB LTE,IPHONE 6S SPACE GRAY 16GB LTE,APPLE,ULTRA HIGH,OBSOLETE
NI,2000,IPHONE 6S 16GB LTE,IPHONE 6S SILVER 16GB LTE,APPLE,ULTRA HIGH,OBSOLETE
NI,2002,NEXUS GO178,KIT NEXUS GO178 DARK BLUE/BLACK,NEXUS,FEATURE PHONE,OBSOLETE
