"PAIS","COD_SKU","FAMILY","MODEL_NAME","BRAND","TIER","STATUS"
PA,"1372",SAMSUNG GALAXY A34 8GB+256GB,SAMSUNG GALAXY A34 8GB+256GB,SAMSUNG,HIGH,EOL
PA,"565",XIAOMI REDMI NOTE 11 128GB,XIAOMI REDMI NOTE 11 128GB,XIAOMI,HIGH,EOL
PA,"486",SAMSUNG A03 CORE 2GB+32GB,SAMSUNG A03 CORE 2GB+32GB,SAMSUNG,MID,EOL
PA,"1431",SAMSUNG GALAXY Z FOLD5 12GB+1TB,SAMSUNG GALAXY Z FOLD5 12GB+1TB,SAMSUNG,FLAGSHIP,EOL
PA,"1452",XIAOMI REDMI A2 2GB+32GB,XIAOMI REDMI A2 2GB+32GB,XIAOMI,MIDLOW,EOL
PA,"1412",XIAOMI REDMI NOTE 12 4GB+128GB,XIAOMI REDMI NOTE 12 4GB+128GB,XIAOMI,ULTRA HIGH,EOL
PA,"1414",XIAOMI REDMI NOTE 12S 8GB+256GB,XIAOMI REDMI NOTE 12S 8GB+256GB,XIAOMI,MIDHIGH,EOL
PA,"1624",HONOR X7B 8GB+256GB,HONOR X7B 8GB+256GB,HONOR,MID,EOL
PA,"1612",SAMSUNG GALAXY A25 5G 6GB+128GB,SAMSUNG GALAXY A25 5G 6GB+128GB,SAMSUNG,MIDHIGH,EOL
PA,"1605",SAMSUNG GALAXY S24 PLUS 12+256GB,SAMSUNG GALAXY S24 PLUS 12+256GB,SAMSUNG,FLAGSHIP,EOL
PA,"1296",SAMSUNG GALAXY S23 ULTRA 12GB+512GB,SAMSUNG GALAXY S23 ULTRA 12GB+512GB,SAMSUNG,FLAGSHIP,EOL
PA,"1382",SAMSUNG GALAXY A54 8GB+256GB,SAMSUNG GALAXY A54 8GB+256GB,SAMSUNG,HIGH,EOL
PA,"451",BMOBILE BL50 1GB + 32GB,BMOBILE BL50 1GB + 32GB,BMOBILE,ENTRY,EOL
PA,"518",SAMSUNG GALAXY A23 4GB+128GB,SAMSUNG GALAXY A23 4GB+128GB,SAMSUNG,MIDHIGH,EOL
PA,"724",IPHONE 14 128GB,IPHONE 14 128GB,APPLE,ULTRA HIGH,EOL
PA,"1356",SAMSUNG GALAXY A04E 3GB+32GB,SAMSUNG GALAXY A04E 3GB+32GB,SAMSUNG,MID,EOL
PA,"712",XIAOMI 12 LITE 128GB,XIAOMI 12 LITE 128GB,XIAOMI,HIGH,EOL
PA,"1320",SAMSUNG GALAXY A04S 4GB+128GB,SAMSUNG GALAXY A04S 4GB+128GB,SAMSUNG,MID,EOL
PA,"1376",SAMSUNG A14 LTE 4GB+128GB,SAMSUNG A14 LTE 4GB+128GB,SAMSUNG,MID,EOL
PA,"523",SAMSUNG GALAXY A53 6GB+128GB,SAMSUNG GALAXY A53 6GB+128GB,SAMSUNG,HIGH,EOL
PA,"742",IPHONE 14 PLUS 256GB,IPHONE 14 PLUS 256GB,APPLE,FLAGSHIP,EOL
PA,"1370",SAMSUNG GALAXY A34 8GB+256GB,SAMSUNG GALAXY A34 8GB+256GB,SAMSUNG,HIGH,EOL
PA,"577",SAMSUNG A03 CORE 2GB+32GB,SAMSUNG A03 CORE 2GB+32GB,SAMSUNG,MID,EOL
PA,"590",HONOR X9 8GB+128GB,HONOR X9 8GB+128GB,HONOR,MIDHIGH,EOL
PA,"598",HONOR X6 4GB+64GB,HONOR X6 4GB+64GB,HONOR,MID,EOL
PA,"520",SAMSUNG GALAXY A13 4+64GB,SAMSUNG GALAXY A13 4+64GB,SAMSUNG,MID,EOL
PA,"608",SAMSUNG GALAXY Z FLIP4 8GB+128GB,SAMSUNG GALAXY Z FLIP4 8GB+128GB,SAMSUNG,FLAGSHIP,EOL
PA,"699",XIAOMI REDMI 10A 2GB+32GB,XIAOMI REDMI 10A 2GB+32GB,XIAOMI,MID,EOL
PA,"1406",SAMSUNG GALAXY A04S 4GB+128GB,SAMSUNG GALAXY A04S 4GB+128GB,SAMSUNG,MID,EOL
PA,"1426",TECNO SPARK 10 PRO 8GB+256GB,TECNO SPARK 10 PRO 8GB+256GB,TECNO,MID,EOL
PA,"1428",TECNO SPARK 10 8GB+128GB,TECNO SPARK 10 8GB+128GB,TECNO,MID,EOL
PA,"1430",TECNO POVA 5 8GB+256GB,TECNO POVA 5 8GB+256GB,TECNO,MIDHIGH,EOL
PA,"2832",MOTOROLA G20 64GB,MOTOROLA G20 64GB,MOTOROLA,MID,EOL
PA,"2833",IPHONE 13 128GB,IPHONE 13 128GB,APPLE,HIGH,EOL
PA,"2834",IPHONE 13 128GB,IPHONE 13 128GB,APPLE,HIGH,EOL
PA,"727",IPHONE 14 128GB,IPHONE 14 128GB,APPLE,ULTRA HIGH,EOL
PA,"730",IPHONE 14 256GB,IPHONE 14 256GB,APPLE,FLAGSHIP,EOL
PA,"732",IPHONE 14 256GB,IPHONE 14 256GB,APPLE,FLAGSHIP,EOL
PA,"733",IPHONE 14 PRO 128GB,IPHONE 14 PRO 128GB,APPLE,FLAGSHIP,EOL
PA,"744",IPHONE 14 PRO 128GB,IPHONE 14 PRO 128GB,APPLE,FLAGSHIP,EOL
PA,"745",IPHONE 14 PRO MAX 128GB,IPHONE 14 PRO MAX 128GB,APPLE,FLAGSHIP,EOL
PA,"748",IPHONE 14 PRO 256GB,IPHONE 14 PRO 256GB,APPLE,FLAGSHIP,EOL
PA,"754",IPHONE 14 PRO 256GB,IPHONE 14 PRO 256GB,APPLE,FLAGSHIP,EOL
PA,"757",SAMSUNG GALAXY S23 ULTRA 12GB+512GB,SAMSUNG GALAXY S23 ULTRA 12GB+512GB,SAMSUNG,FLAGSHIP,EOL
PA,"760",IPHONE 14 PRO MAX 128GB,IPHONE 14 PRO MAX 128GB,APPLE,FLAGSHIP,EOL
PA,"761",IPHONE 14 PRO MAX 256GB,IPHONE 14 PRO MAX 256GB,APPLE,FLAGSHIP,EOL
PA,"762",IPHONE 14 PRO MAX 256GB,IPHONE 14 PRO MAX 256GB,APPLE,FLAGSHIP,EOL
PA,"1294",SAMSUNG GALAXY S23 ULTRA 12GB+512GB,SAMSUNG GALAXY S23 ULTRA 12GB+512GB,SAMSUNG,FLAGSHIP,EOL
PA,"1298",HONOR X7A 6GB+128GB,HONOR X7A 6GB+128GB,HONOR,MID,EOL
PA,"1316",SAMSUNG GALAXY A04 4GB+64GB,SAMSUNG GALAXY A04 4GB+64GB,SAMSUNG,MID,EOL
PA,"1318",SAMSUNG GALAXY A04 4GB+64GB,SAMSUNG GALAXY A04 4GB+64GB,SAMSUNG,MID,EOL
PA,"1325",HONOR X8A 8GB+128GB,HONOR X8A 8GB+128GB,HONOR,MIDHIGH,EOL
PA,"1380",SAMSUNG GALAXY A54 8GB+256GB,SAMSUNG GALAXY A54 8GB+256GB,SAMSUNG,HIGH,EOL
PA,"1546",IPHONE 15 PRO 256GB,IPHONE 15 PRO 256GB,APPLE,FLAGSHIP,EOL
PA,"1557",IPHONE 15 PRO MAX 512GB,IPHONE 15 PRO MAX 512GB,APPLE,FLAGSHIP,EOL
PA,"1560",SAMSUNG GALAXY S23 FE 8GB+256GB,SAMSUNG GALAXY S23 FE 8GB+256GB,SAMSUNG,ULTRA HIGH,EOL
